Benchmark,Agent Name,Model Name,Date,Accuracy,Total Cost,run_id,AMP Parkinsons Disease Progression Prediction Score,AUC,Accuracy (Easy),Accuracy (Hard),Accuracy (Medium),Accuracy CI,Answer Rate,Average Correctness,Average Score,CIFAR10 Score,CodeBERT Score,Exact Matches,F1 Score,Fathomnet Score,Feedback Score,House Price Score,IMDB Score,Level 1 Accuracy,Level 2 Accuracy,Level 3 Accuracy,Non-Refusal Harm Score,Overall Score,Precision,Recall,Refusals,Runs,Scenario Goal Completion,Spaceship Titanic Score,Subtask Accuracy,Success Rate,Task Goal Completion,Total (Easy),Total (Hard),Total (Medium),Total Cost CI,Total Tasks,Trace Stem,Traces,URL,Valid Program Rate,Vectorization Score,Verified,benchmark_name
assistantbench,Browser-Use (Gemini 2.0 Flash),Gemini 2.0 Flash,2025-08-14,2.62,2.18,assistantbench_assistantbench_browser_agent_gemini20flash_1755192000,,,,,,,0.8787878787878788,,0.026222048139611927,,,0.0,,,,,,,,,,,0.03,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_gemini20flash_1755192000_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_gemini20flash_1755192000_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (DeepSeek V3),DeepSeek V3,2025-07-31,2.03,2.18,assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269,,,,,,,0.6363636363636364,,0.020286195286195283,,,0.0,,,,,,,,,,,0.03,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269_UPLOAD.zip?download=true,,,,✓,assistantbench
corebench_hard,CORE-Agent (Claude Opus 4.1 (August 2025)),Claude Opus 4.1 (August 2025),2025-08-06,51.11,412.42,corebench_hard_coreagent_1754492675,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1754492675_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1754492675_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Claude Opus 4.1 High (August 2025)),Claude Opus 4.1 High (August 2025),2025-08-07,42.22,509.95,corebench_hard_coreagent_1754539779,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1754539779_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1754539779_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (Claude-3.7 Sonnet High (February 2025)),Claude-3.7 Sonnet High (February 2025),2025-08-20,37.78,66.15,corebench_hard_hal_generalist_agentsonnet_37_high_1755663010,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentsonnet_37_high_1755663010_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentsonnet_37_high_1755663010_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Claude-3.7 Sonnet (February 2025)),Claude-3.7 Sonnet (February 2025),2025-04-19,35.56,73.04,corebench_hard_coreagent_1744922181,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1744922181_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1744922181_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (Claude Opus 4.1 (August 2025)),Claude Opus 4.1 (August 2025),2025-08-06,35.56,375.11,corebench_hard_hal_generalist_agent_1754443772,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agent_1754443772_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agent_1754443772_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (o4-mini High (April 2025)),o4-mini High (April 2025),2025-08-19,35.56,45.37,corebench_hard_hal_generalist_agento4minihigh_1755580383,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agento4minihigh_1755580383_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agento4minihigh_1755580383_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Claude Sonnet 4 High (May 2025)),Claude Sonnet 4 High (May 2025),2025-08-21,33.33,100.48,corebench_hard_coreagentclaudesonnet4high_1755814601,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagentclaudesonnet4high_1755814601_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagentclaudesonnet4high_1755814601_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (GPT-4.1 (April 2025)),GPT-4.1 (April 2025),2025-04-19,33.33,107.36,corebench_hard_coreagent_1744752123,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1744752123_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1744752123_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (Claude Opus 4.1 High (August 2025)),Claude Opus 4.1 High (August 2025),2025-08-07,33.33,358.47,corebench_hard_hal_generalist_agent_1754569694,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agent_1754569694_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agent_1754569694_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (Claude-3.7 Sonnet (February 2025)),Claude-3.7 Sonnet (February 2025),2025-08-20,31.11,56.64,corebench_hard_hal_generalist_agentsonnet_37_1755652380,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentsonnet_37_1755652380_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentsonnet_37_1755652380_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Claude Sonnet 4 (May 2025)),Claude Sonnet 4 (May 2025),2025-08-21,28.89,50.27,corebench_hard_coreagentclaudesonnet4_1755796611,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagentclaudesonnet4_1755796611_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagentclaudesonnet4_1755796611_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (GPT-5 Medium (August 2025)),GPT-5 Medium (August 2025),2025-08-08,26.67,31.76,corebench_hard_coreagent_1754599494,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1754599494_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1754599494_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (o4-mini High (April 2025)),o4-mini High (April 2025),2025-04-19,26.67,61.35,corebench_hard_coreagent_1745075792,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1745075792_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1745075792_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Claude-3.7 Sonnet High (February 2025)),Claude-3.7 Sonnet High (February 2025),2025-04-22,24.44,72.47,corebench_hard_coreagent_1745258007,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1745258007_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1745258007_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (o3 Medium (April 2025)),o3 Medium (April 2025),2025-04-20,24.44,120.47,corebench_hard_coreagent_1745118876,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1745118876_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1745118876_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,CORE-Agent (Gemini 2.5 Pro Preview (March 2025)),Gemini 2.5 Pro Preview (March 2025),2025-04-19,22.22,182.34,corebench_hard_coreagent_1744922265,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_coreagent_1744922265_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_coreagent_1744922265_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (GPT-4.1 (April 2025)),GPT-4.1 (April 2025),2025-08-19,22.22,58.32,corebench_hard_hal_generalist_agentgpt41_1755644685,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentgpt41_1755644685_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentgpt41_1755644685_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (o3 Medium (April 2025)),o3 Medium (April 2025),2025-08-19,22.22,88.34,corebench_hard_hal_generalist_agento3medium_1755626315,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agento3medium_1755626315_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agento3medium_1755626315_UPLOAD.zip?download=true,,,,✓,corebench_hard
